completed_t2_flag,male,non_binary,single_t1,age_z,tenure_score_t1_z,total_approvals_t1_log_z,anthropomorphism_score_t1_z,intensity_avg_t1_z,companionship_use_t1_z,relational_t1_z,self_disclosure_select_avg_t1_z,chatbot_use_social_primary_flag_t1,well_being_avg_t1_z,intensity_avg_t2_z,companionship_use_t2_z,relational_t2_z,self_disclosure_select_avg_t2_z,well_being_avg_t2_z,time_inperson_z
0,1,0,0,-0.4867013570227475,-1.822673328920161,1.4224554036873869,1.1074340931646207,-0.0079075194280485,-0.3555829950036889,0.9911705877184126,1.3189611196983422,0,1.6688486509143718,,,,,,
1,1,0,0,0.0720456436704649,-0.4594103968661684,1.3083948926657,-1.3653654661129109,-1.4305304612726932,-0.3555829950036889,-1.0080559469640418,-0.2720081363813634,0,0.5379582709978995,0.2748464563144525,-0.7591139106621356,-0.9875479113951852,0.8888691095731699,0.7772801709677991,-0.1289958310216364
1,1,0,1,-0.4867013570227475,-1.822673328920161,1.3275665405591852,-0.1289656864741449,-0.3004667590837041,-0.3555829950036889,-1.0080559469640418,-0.0447268142790753,0,-1.84947697574374,0.4614797000524168,1.820893883768916,1.010302471565581,1.277141287787824,-0.7587094191979756,-1.3468274400216007
1,1,0,1,-0.4867013570227475,0.9038525351878244,1.4331253708773204,-0.7471655762935278,-0.5463262832940989,-0.3555829950036889,0.9911705877184126,-0.0447268142790753,0,-0.592932108918573,-0.0304449605605467,0.1008886874815482,1.010302471565581,0.5005969313585155,-0.4042502830604059,1.088835777978328
1,1,0,1,-0.3935768569072121,0.9038525351878244,0.1904090523852567,-0.7471655762935278,-1.7646047756467091,-0.3555829950036889,-1.0080559469640418,-1.8629773931429137,0,1.1662307040335194,-0.5477995712489948,-0.3291126115902937,-0.9875479113951852,-0.405371484346254,1.3680453976274425,-0.1289958310216364
0,0,0,0,1.2826641451724254,0.9038525351878244,2.5426347770540874,-0.7471655762935278,-0.379289126107091,-0.3555829950036889,-1.0080559469640418,-2.0902587152452017,0,-0.8442410819820356,,,,,,
0,0,0,0,0.7239171444792128,0.9038525351878244,1.579479448509781,-0.1289656864741449,-0.5578292307848479,-0.3555829950036889,-1.0080559469640418,0.6371171527096334,0,-0.0903141620377204,,,,,,
0,1,0,1,-0.3004523567916767,-1.822673328920161,1.752686811512068,-0.1289656864741449,-1.5418885660640316,-0.3555829950036889,-1.0080559469640418,-1.1811334261542046,0,0.160994811025742,,,,,,
1,0,0,1,1.2826641451724254,0.9038525351878244,2.077071951119796,1.1074340931646207,0.1449656600816501,-0.3555829950036889,-1.0080559469640418,-0.7265707812677842,0,0.5379582709978995,0.8116280167095122,1.390892584697074,1.010302471565581,0.5005969313585155,0.6591271253523029,-0.1289958310216364
1,0,0,1,-0.6729503572538184,-0.4594103968661684,0.4791434453917765,-1.9835653559322937,-1.6532466708553704,-0.3555829950036889,0.9911705877184126,0.8643984748119214,0,-0.8442410819820356,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-0.0497911469228365,1.088835777978328
1,1,0,0,-0.4867013570227475,0.9038525351878244,-0.2182383019065798,-1.3653654661129109,-2.098679090020725,-0.3555829950036889,-1.0080559469640418,-1.1811334261542046,0,0.286649297934437,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-0.0497911469228365,0.4799199734783458
0,0,0,0,1.655162145634567,0.9038525351878244,1.1474601544127008,-0.7471655762935278,-1.0820840169735892,-0.3555829950036889,-1.0080559469640418,-1.6356960703587813,0,0.160994811025742,,,,,,
0,0,0,1,-0.5798258571382829,-0.4594103968661684,-0.5824713007279525,1.1074340931646207,1.0049490885446446,2.809907727435166,0.9911705877184126,1.3189611196983422,1,-1.095550055799425,,,,,,
1,0,0,0,0.0720456436704649,0.9038525351878244,1.832001197455376,-0.7471655762935278,-0.1891086542923655,-0.3555829950036889,-1.0080559469640418,1.3189611196983422,0,1.040576217878752,0.1434568061435273,-0.3291126115902937,1.010302471565581,0.7594450502977093,0.4228210348302294,-1.3468274400216007
1,0,1,1,-0.6729503572538184,0.9038525351878244,1.9032600402460365,0.4892342033452379,0.5038376169836208,-0.3555829950036889,0.9911705877184126,0.4098358306073453,0,1.040576217878752,0.2197796603622771,-0.7591139106621356,1.010302471565581,-0.1465233657953324,1.1317393071053687,1.088835777978328
1,0,1,1,-0.2073278566761413,-0.4594103968661684,1.0571899581015445,0.4892342033452379,1.0833381391764525,-0.3555829950036889,-1.0080559469640418,-0.0447268142790753,0,-1.095550055799425,1.310119814908035,0.5308899865533903,-0.9875479113951852,-0.2759474250707932,-0.5224033279669839,1.088835777978328
1,0,0,1,-0.9523238576004246,-0.4594103968661684,0.7516189252215789,-1.3653654661129109,0.6708747741706288,-0.3555829950036889,-1.0080559469640418,-0.0447268142790753,0,-1.84947697574374,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-1.2313216002421232,0.4799199734783458
1,1,0,1,-0.4867013570227475,-1.822673328920161,1.4937620517412502,-0.1289656864741449,-1.0618098847802109,-0.3555829950036889,0.9911705877184126,-0.9538521033700724,0,-0.7185865958272676,-0.6241224254677447,0.5308899865533903,1.010302471565581,-0.5347955440099867,0.3046679892147332,-0.1289958310216364
0,1,0,1,-0.7660748573693538,-0.4594103968661684,1.3139294957180625,-1.3653654661129109,-1.8759628804380477,-0.3555829950036889,0.9911705877184126,-2.0902587152452017,0,0.9149217309700568,,,,,,
1,1,0,0,-0.9523238576004246,0.9038525351878244,1.544651141257755,-1.3653654661129109,-0.2249358223592102,-0.3555829950036889,-1.0080559469640418,-2.7721026822339105,0,-0.9698955688907304,-0.7767681339052441,-0.7591139106621356,-0.9875479113951852,-1.0524917815001018,-0.8768624641045535,1.088835777978328
0,1,0,1,0.1651701437860003,-0.4594103968661684,1.6281622445409747,-1.3653654661129109,-1.284526094362888,-0.3555829950036889,-1.0080559469640418,-0.7265707812677842,0,0.0353403241170469,,,,,,
1,1,0,0,-0.5798258571382829,0.9038525351878244,0.4136208153907556,0.4892342033452379,-0.6493354512473617,-0.3555829950036889,0.9911705877184126,-0.4992894591654961,0,-0.0903141620377204,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-0.1679441918294137,-0.1289958310216364
0,0,0,1,0.7239171444792128,-0.4594103968661684,1.5423146824596825,-0.1289656864741449,-0.0777505495010269,2.809907727435166,0.9911705877184126,-0.0447268142790753,1,-0.2159686489464154,,,,,,
1,0,0,0,-0.7660748573693538,0.9038525351878244,0.0681129381340053,-0.7471655762935278,-0.7893166250701545,-0.3555829950036889,0.9911705877184126,0.1825545078232127,0,-1.84947697574374,1.1429135208766823,0.1008886874815482,-0.9875479113951852,0.5005969313585155,-1.2313216002421232,-1.3468274400216007
1,0,0,0,-0.5798258571382829,0.9038525351878244,0.0789169020774104,-0.1289656864741449,-0.360092428801595,-0.3555829950036889,0.9911705877184126,-1.1811334261542046,0,1.040576217878752,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,0.1865149443081559,1.088835777978328
0,0,0,0,-0.8591993574848892,-0.4594103968661684,1.5926234170185791,0.4892342033452379,-0.9707259121822504,-0.3555829950036889,0.9911705877184126,1.3189611196983422,0,0.7892672440613618,,,,,,
1,1,0,0,0.3514191440170712,0.9038525351878244,1.0357111657837124,-1.3653654661129109,-1.931641932833717,-0.3555829950036889,-1.0080559469640418,-1.1811334261542046,0,0.0353403241170469,-0.50963814413962,-0.3291126115902937,-0.9875479113951852,-0.5347955440099867,-0.6405563735824797,1.088835777978328
